Id,ActivityDate,TotalSteps,TotalDistance,SedentaryMinutes,Calories,ActiveMinutes,TotalLoggedMinutes,indexOfWeek,dayNames
1503960366,"2016-04-12 00:00:00",13162,8.5,728,1985,366,1094,3,Tuesday
1503960366,"2016-04-13 00:00:00",10735,6.97,776,1797,257,1033,4,Wednesday
1503960366,"2016-04-14 00:00:00",10460,6.74,1218,1776,222,1440,5,Thursday
1503960366,"2016-04-15 00:00:00",9762,6.28,726,1745,272,998,6,Friday
1503960366,"2016-04-16 00:00:00",12669,8.16,773,1863,267,1040,7,Saturday
1503960366,"2016-04-17 00:00:00",9705,6.48,539,1728,222,761,1,Sunday
1503960366,"2016-04-18 00:00:00",13019,8.59,1149,1921,291,1440,2,Monday
1503960366,"2016-04-19 00:00:00",15506,9.88,775,2035,345,1120,3,Tuesday
1503960366,"2016-04-20 00:00:00",10544,6.68,818,1786,245,1063,4,Wednesday
1503960366,"2016-04-21 00:00:00",9819,6.34,838,1775,238,1076,5,Thursday
1503960366,"2016-04-22 00:00:00",12764,8.13,1217,1827,223,1440,6,Friday
1503960366,"2016-04-23 00:00:00",14371,9.04,732,1949,324,1056,7,Saturday
1503960366,"2016-04-24 00:00:00",10039,6.41,709,1788,282,991,1,Sunday
1503960366,"2016-04-25 00:00:00",15355,9.8,814,2013,303,1117,2,Monday
1503960366,"2016-04-26 00:00:00",13755,8.79,833,1970,333,1166,3,Tuesday
1503960366,"2016-04-27 00:00:00",18134,12.21,1108,2159,332,1440,4,Wednesday
1503960366,"2016-04-28 00:00:00",13154,8.53,782,1898,265,1047,5,Thursday
1503960366,"2016-04-29 00:00:00",11181,7.15,815,1837,271,1086,6,Friday
1503960366,"2016-04-30 00:00:00",14673,9.25,712,1947,303,1015,7,Saturday
1503960366,"2016-05-01 00:00:00",10602,6.81,730,1820,314,1044,1,Sunday
1503960366,"2016-05-02 00:00:00",14727,9.71,798,2004,333,1131,2,Monday
1503960366,"2016-05-03 00:00:00",15103,9.66,816,1990,328,1144,3,Tuesday
1503960366,"2016-05-04 00:00:00",11100,7.15,1179,1819,261,1440,4,Wednesday
1503960366,"2016-05-05 00:00:00",14070,8.9,857,1959,319,1176,5,Thursday
1503960366,"2016-05-06 00:00:00",12159,8.03,754,1896,319,1073,6,Friday
1503960366,"2016-05-07 00:00:00",11992,7.71,833,1821,258,1091,7,Saturday
1503960366,"2016-05-08 00:00:00",10060,6.58,574,1740,255,829,1,Sunday
1503960366,"2016-05-09 00:00:00",12022,7.72,835,1819,263,1098,2,Monday
1503960366,"2016-05-10 00:00:00",12207,7.77,746,1859,291,1037,3,Tuesday
1503960366,"2016-05-11 00:00:00",12770,8.13,669,1783,310,979,4,Wednesday
1503960366,"2016-05-12 00:00:00",0,0,1440,0,0,1440,5,Thursday
1624580081,"2016-04-12 00:00:00",8163,5.31,1294,1432,146,1440,3,Tuesday
1624580081,"2016-04-13 00:00:00",7007,4.55,1292,1411,148,1440,4,Wednesday
1624580081,"2016-04-14 00:00:00",9107,5.92,1204,1572,236,1440,5,Thursday
1624580081,"2016-04-15 00:00:00",1510,0.98,1344,1344,96,1440,6,Friday
1624580081,"2016-04-16 00:00:00",5370,3.49,1264,1463,176,1440,7,Saturday
1624580081,"2016-04-17 00:00:00",6175,4.06,1276,1554,164,1440,1,Sunday
1624580081,"2016-04-18 00:00:00",10536,7.41,1214,1604,226,1440,2,Monday
1624580081,"2016-04-19 00:00:00",2916,1.9,1299,1435,141,1440,3,Tuesday
1624580081,"2016-04-20 00:00:00",4974,3.23,1289,1446,151,1440,4,Wednesday
1624580081,"2016-04-21 00:00:00",6349,4.13,1254,1467,186,1440,5,Thursday
1624580081,"2016-04-22 00:00:00",4026,2.62,1241,1470,199,1440,6,Friday
1624580081,"2016-04-23 00:00:00",8538,5.55,1213,1562,227,1440,7,Saturday
1624580081,"2016-04-24 00:00:00",6076,3.95,1221,1617,219,1440,1,Sunday
1624580081,"2016-04-25 00:00:00",6497,4.22,1238,1492,202,1440,2,Monday
1624580081,"2016-04-26 00:00:00",2826,1.84,1300,1402,140,1440,3,Tuesday
1624580081,"2016-04-27 00:00:00",8367,5.44,1233,1670,207,1440,4,Wednesday
1624580081,"2016-04-28 00:00:00",2759,1.79,1320,1401,120,1440,5,Thursday
1624580081,"2016-04-29 00:00:00",2390,1.55,1290,1404,150,1440,6,Friday
1624580081,"2016-04-30 00:00:00",6474,4.3,1182,1655,258,1440,7,Saturday
1624580081,"2016-05-01 00:00:00",36019,28.03,1020,2690,420,1440,1,Sunday
1624580081,"2016-05-02 00:00:00",7155,4.93,1261,1497,179,1440,2,Monday
1624580081,"2016-05-03 00:00:00",2100,1.37,1344,1334,96,1440,3,Tuesday
1624580081,"2016-05-04 00:00:00",2193,1.43,1322,1368,118,1440,4,Wednesday
1624580081,"2016-05-05 00:00:00",2470,1.61,1323,1370,117,1440,5,Thursday
1624580081,"2016-05-06 00:00:00",1727,1.12,1338,1341,102,1440,6,Friday
1624580081,"2016-05-07 00:00:00",2104,1.37,1258,1474,182,1440,7,Saturday
1624580081,"2016-05-08 00:00:00",3427,2.23,1288,1427,152,1440,1,Sunday
1624580081,"2016-05-09 00:00:00",1732,1.13,1349,1328,91,1440,2,Monday
1624580081,"2016-05-10 00:00:00",2969,1.93,1301,1393,139,1440,3,Tuesday
1624580081,"2016-05-11 00:00:00",3134,2.04,1328,1359,112,1440,4,Wednesday
1624580081,"2016-05-12 00:00:00",2971,1.93,890,1002,107,997,5,Thursday
1644430081,"2016-04-12 00:00:00",10694,7.77,1131,3199,309,1440,3,Tuesday
1644430081,"2016-04-13 00:00:00",8001,5.82,1259,2902,181,1440,4,Wednesday
1644430081,"2016-04-14 00:00:00",11037,8.02,1125,3226,315,1440,5,Thursday
1644430081,"2016-04-15 00:00:00",5263,3.83,1263,2750,177,1440,6,Friday
1644430081,"2016-04-16 00:00:00",15300,11.12,1135,3493,305,1440,7,Saturday
1644430081,"2016-04-17 00:00:00",8757,6.37,1212,3011,228,1440,1,Sunday
1644430081,"2016-04-18 00:00:00",7132,5.19,1271,2806,169,1440,2,Monday
1644430081,"2016-04-19 00:00:00",11256,8.18,1099,3300,341,1440,3,Tuesday
1644430081,"2016-04-20 00:00:00",2436,1.77,1315,2430,125,1440,4,Wednesday
1644430081,"2016-04-21 00:00:00",1223,0.89,1402,2140,38,1440,5,Thursday
1644430081,"2016-04-22 00:00:00",3673,2.67,1354,2344,86,1440,6,Friday
1644430081,"2016-04-23 00:00:00",6637,4.83,1265,2677,175,1440,7,Saturday
1644430081,"2016-04-24 00:00:00",3321,2.41,1351,2413,89,1440,1,Sunday
1644430081,"2016-04-25 00:00:00",3580,2.6,1337,2497,103,1440,2,Monday
1644430081,"2016-04-26 00:00:00",9919,7.21,1165,3123,275,1440,3,Tuesday
1644430081,"2016-04-27 00:00:00",3032,2.2,1322,2489,118,1440,4,Wednesday
1644430081,"2016-04-28 00:00:00",9405,6.84,1157,3108,283,1440,5,Thursday
1644430081,"2016-04-29 00:00:00",3176,2.31,1193,2498,120,1313,6,Friday
1644430081,"2016-04-30 00:00:00",18213,13.24,816,3846,482,1298,7,Saturday
1644430081,"2016-05-01 00:00:00",6132,4.46,908,2696,173,1081,1,Sunday
1644430081,"2016-05-02 00:00:00",3758,2.73,682,2580,156,838,2,Monday
1644430081,"2016-05-03 00:00:00",12850,9.34,1115,3324,325,1440,3,Tuesday
1644430081,"2016-05-04 00:00:00",2309,1.68,1388,2222,52,1440,4,Wednesday
1644430081,"2016-05-05 00:00:00",4363,3.19,1341,2463,99,1440,5,Thursday
1644430081,"2016-05-06 00:00:00",9787,7.12,1054,3328,386,1440,6,Friday
1644430081,"2016-05-07 00:00:00",13372,9.72,1139,3404,301,1440,7,Saturday
1644430081,"2016-05-08 00:00:00",6724,4.89,991,2987,295,1286,1,Sunday
1644430081,"2016-05-09 00:00:00",6643,4.83,1099,3008,341,1440,2,Monday
1644430081,"2016-05-10 00:00:00",9167,6.66,1254,2799,186,1440,3,Tuesday
1644430081,"2016-05-11 00:00:00",1329,0.97,713,1276,49,762,4,Wednesday
1844505072,"2016-04-12 00:00:00",6697,4.43,1101,2030,339,1440,3,Tuesday
1844505072,"2016-04-13 00:00:00",4929,3.26,1192,1860,248,1440,4,Wednesday
1844505072,"2016-04-14 00:00:00",7937,5.25,843,2130,373,1216,5,Thursday
1844505072,"2016-04-15 00:00:00",3844,2.54,527,1725,176,703,6,Friday
1844505072,"2016-04-16 00:00:00",3414,2.26,1293,1657,147,1440,7,Saturday
1844505072,"2016-04-17 00:00:00",4525,2.99,1231,1793,209,1440,1,Sunday
1844505072,"2016-04-18 00:00:00",4597,3.04,1211,1814,229,1440,2,Monday
1844505072,"2016-04-19 00:00:00",197,0.13,1430,1366,10,1440,3,Tuesday
1844505072,"2016-04-20 00:00:00",8,0.01,1439,1349,1,1440,4,Wednesday
1844505072,"2016-04-21 00:00:00",8054,5.32,1117,2062,323,1440,5,Thursday
1844505072,"2016-04-22 00:00:00",5372,3.55,1220,1827,220,1440,6,Friday
1844505072,"2016-04-23 00:00:00",3570,2.36,1301,1645,139,1440,7,Saturday
1844505072,"2016-04-24 00:00:00",0,0,1440,1347,0,1440,1,Sunday
1844505072,"2016-04-25 00:00:00",0,0,1440,1347,0,1440,2,Monday
1844505072,"2016-04-26 00:00:00",0,0,1440,1347,0,1440,3,Tuesday
1844505072,"2016-04-27 00:00:00",4,0,1439,1348,1,1440,4,Wednesday
1844505072,"2016-04-28 00:00:00",6907,4.57,1138,1992,302,1440,5,Thursday
1844505072,"2016-04-29 00:00:00",4920,3.25,1082,1856,247,1329,6,Friday
1844505072,"2016-04-30 00:00:00",4014,2.67,218,1763,184,402,7,Saturday
1844505072,"2016-05-01 00:00:00",2573,1.7,585,1541,82,667,1,Sunday
1844505072,"2016-05-02 00:00:00",0,0,1440,1348,0,1440,2,Monday
1844505072,"2016-05-03 00:00:00",4059,2.68,1256,1742,184,1440,3,Tuesday
1844505072,"2016-05-04 00:00:00",2080,1.37,1353,1549,87,1440,4,Wednesday
1844505072,"2016-05-05 00:00:00",2237,1.48,1320,1589,120,1440,5,Thursday
1844505072,"2016-05-06 00:00:00",44,0.03,1438,1351,2,1440,6,Friday
1844505072,"2016-05-07 00:00:00",0,0,1440,1347,0,1440,7,Saturday
1844505072,"2016-05-08 00:00:00",0,0,1440,1347,0,1440,1,Sunday
1844505072,"2016-05-09 00:00:00",0,0,1440,1347,0,1440,2,Monday
1844505072,"2016-05-10 00:00:00",0,0,1440,1347,0,1440,3,Tuesday
1844505072,"2016-05-11 00:00:00",0,0,1440,1347,0,1440,4,Wednesday
1844505072,"2016-05-12 00:00:00",0,0,711,665,0,711,5,Thursday
1927972279,"2016-04-12 00:00:00",678,0.47,734,2220,55,789,3,Tuesday
1927972279,"2016-04-13 00:00:00",356,0.25,986,2151,32,1018,4,Wednesday
1927972279,"2016-04-14 00:00:00",2163,1.5,1292,2383,97,1389,5,Thursday
1927972279,"2016-04-15 00:00:00",980,0.68,941,2221,51,992,6,Friday
1927972279,"2016-04-16 00:00:00",0,0,1440,2064,0,1440,7,Saturday
1927972279,"2016-04-17 00:00:00",0,0,1440,2063,0,1440,1,Sunday
1927972279,"2016-04-18 00:00:00",244,0.17,1423,2111,17,1440,2,Monday
1927972279,"2016-04-19 00:00:00",0,0,1440,2063,0,1440,3,Tuesday
1927972279,"2016-04-20 00:00:00",0,0,1440,2063,0,1440,4,Wednesday
1927972279,"2016-04-21 00:00:00",0,0,1440,2064,0,1440,5,Thursday
1927972279,"2016-04-22 00:00:00",149,0.1,1430,2093,10,1440,6,Friday
1927972279,"2016-04-23 00:00:00",2945,2.04,1295,2499,145,1440,7,Saturday
1927972279,"2016-04-24 00:00:00",2090,1.45,1358,2324,82,1440,1,Sunday
1927972279,"2016-04-25 00:00:00",152,0.11,1303,2100,12,1315,2,Monday
1927972279,"2016-04-26 00:00:00",3761,2.6,1058,2638,192,1250,3,Tuesday
1927972279,"2016-04-27 00:00:00",0,0,1440,2063,0,1440,4,Wednesday
1927972279,"2016-04-28 00:00:00",1675,1.16,1167,2351,95,1262,5,Thursday
1927972279,"2016-04-29 00:00:00",0,0,1440,2063,0,1440,6,Friday
1927972279,"2016-04-30 00:00:00",0,0,1440,2064,0,1440,7,Saturday
1927972279,"2016-05-01 00:00:00",2704,1.87,1355,2411,85,1440,1,Sunday
1927972279,"2016-05-02 00:00:00",3790,2.62,1322,2505,118,1440,2,Monday
1927972279,"2016-05-03 00:00:00",1326,0.92,1413,2195,27,1440,3,Tuesday
1927972279,"2016-05-04 00:00:00",1786,1.24,1353,2338,87,1440,4,Wednesday
1927972279,"2016-05-05 00:00:00",0,0,1440,2063,0,1440,5,Thursday
1927972279,"2016-05-06 00:00:00",2091,1.45,1332,2383,108,1440,6,Friday
1927972279,"2016-05-07 00:00:00",1510,1.04,1392,2229,48,1440,7,Saturday
1927972279,"2016-05-08 00:00:00",0,0,1440,2063,0,1440,1,Sunday
1927972279,"2016-05-09 00:00:00",0,0,1440,2063,0,1440,2,Monday
1927972279,"2016-05-10 00:00:00",0,0,1440,2063,0,1440,3,Tuesday
1927972279,"2016-05-11 00:00:00",0,0,1440,2063,0,1440,4,Wednesday
1927972279,"2016-05-12 00:00:00",0,0,966,1383,0,966,5,Thursday
2022484408,"2016-04-12 00:00:00",11875,8.34,1157,2390,283,1440,3,Tuesday
2022484408,"2016-04-13 00:00:00",12024,8.5,1100,2601,340,1440,4,Wednesday
2022484408,"2016-04-14 00:00:00",10690,7.5,1148,2312,292,1440,5,Thursday
2022484408,"2016-04-15 00:00:00",11034,8.03,1122,2525,318,1440,6,Friday
2022484408,"2016-04-16 00:00:00",10100,7.09,1237,2177,203,1440,7,Saturday
2022484408,"2016-04-17 00:00:00",15112,11.4,1052,2782,388,1440,1,Sunday
2022484408,"2016-04-18 00:00:00",14131,10.07,1078,2770,362,1440,2,Monday
2022484408,"2016-04-19 00:00:00",11548,8.53,1152,2489,288,1440,3,Tuesday
2022484408,"2016-04-20 00:00:00",15112,10.67,1053,2897,387,1440,4,Wednesday
2022484408,"2016-04-21 00:00:00",12453,8.74,1028,3158,412,1440,5,Thursday
2022484408,"2016-04-22 00:00:00",12954,9.33,1105,2638,335,1440,6,Friday
2022484408,"2016-04-23 00:00:00",6001,4.21,1191,2069,249,1440,7,Saturday
2022484408,"2016-04-24 00:00:00",13481,10.28,1161,2529,279,1440,1,Sunday
2022484408,"2016-04-25 00:00:00",11369,8.01,1171,2470,269,1440,2,Monday
2022484408,"2016-04-26 00:00:00",10119,7.19,1086,2793,354,1440,3,Tuesday
2022484408,"2016-04-27 00:00:00",10159,7.13,1119,2463,321,1440,4,Wednesday
2022484408,"2016-04-28 00:00:00",10140,7.12,1123,2296,317,1440,5,Thursday
2022484408,"2016-04-29 00:00:00",10245,7.19,1098,2611,342,1440,6,Friday
2022484408,"2016-04-30 00:00:00",18387,12.91,1043,2732,397,1440,7,Saturday
2022484408,"2016-05-01 00:00:00",10538,7.4,1142,2380,298,1440,1,Sunday
2022484408,"2016-05-02 00:00:00",10379,7.29,1119,2473,321,1440,2,Monday
2022484408,"2016-05-03 00:00:00",12183,8.74,1104,2752,336,1440,3,Tuesday
2022484408,"2016-05-04 00:00:00",11768,8.29,1105,2649,335,1440,4,Wednesday
2022484408,"2016-05-05 00:00:00",11895,8.35,1112,2609,328,1440,5,Thursday
2022484408,"2016-05-06 00:00:00",10227,7.18,1104,2498,336,1440,6,Friday
2022484408,"2016-05-07 00:00:00",6708,4.71,1269,1995,171,1440,7,Saturday
2022484408,"2016-05-08 00:00:00",3292,2.31,1305,1848,135,1440,1,Sunday
2022484408,"2016-05-09 00:00:00",13379,9.39,1061,2709,379,1440,2,Monday
2022484408,"2016-05-10 00:00:00",12798,8.98,1084,2797,356,1440,3,Tuesday
2022484408,"2016-05-11 00:00:00",13272,9.32,1133,2544,307,1440,4,Wednesday
2022484408,"2016-05-12 00:00:00",9117,6.41,728,1853,268,996,5,Thursday
2026352035,"2016-04-12 00:00:00",4414,2.74,706,1459,192,898,3,Tuesday
2026352035,"2016-04-13 00:00:00",4993,3.1,663,1521,238,901,4,Wednesday
2026352035,"2016-04-14 00:00:00",3335,2.07,653,1431,197,850,5,Thursday
2026352035,"2016-04-15 00:00:00",3821,2.37,687,1444,188,875,6,Friday
2026352035,"2016-04-16 00:00:00",2547,1.58,728,1373,150,878,7,Saturday
2026352035,"2016-04-17 00:00:00",838,0.52,1053,1214,60,1113,1,Sunday
2026352035,"2016-04-18 00:00:00",3325,2.06,1062,1419,182,1244,2,Monday
2026352035,"2016-04-19 00:00:00",2424,1.5,785,1356,141,926,3,Tuesday
2026352035,"2016-04-20 00:00:00",7222,4.48,623,1667,327,950,4,Wednesday
2026352035,"2016-04-21 00:00:00",2467,1.53,749,1370,153,902,5,Thursday
2026352035,"2016-04-22 00:00:00",2915,1.81,712,1399,162,874,6,Friday
2026352035,"2016-04-23 00:00:00",12357,7.71,458,1916,432,890,7,Saturday
2026352035,"2016-04-24 00:00:00",3490,2.16,704,1401,164,868,1,Sunday
2026352035,"2016-04-25 00:00:00",6017,3.73,821,1576,260,1081,2,Monday
2026352035,"2016-04-26 00:00:00",5933,3.68,1018,1595,288,1306,3,Tuesday
2026352035,"2016-04-27 00:00:00",6088,3.77,586,1593,286,872,4,Wednesday
2026352035,"2016-04-28 00:00:00",6375,3.95,626,1649,331,957,5,Thursday
2026352035,"2016-04-29 00:00:00",7604,4.71,492,1692,352,844,6,Friday
2026352035,"2016-04-30 00:00:00",4729,2.93,594,1506,233,827,7,Saturday
2026352035,"2016-05-01 00:00:00",3609,2.28,716,1447,191,907,1,Sunday
2026352035,"2016-05-02 00:00:00",7018,4.35,716,1690,355,1071,2,Monday
2026352035,"2016-05-03 00:00:00",5992,3.72,981,1604,304,1285,3,Tuesday
2026352035,"2016-05-04 00:00:00",6564,4.07,530,1658,345,875,4,Wednesday
2026352035,"2016-05-05 00:00:00",12167,7.54,479,1926,475,954,5,Thursday
2026352035,"2016-05-06 00:00:00",8198,5.08,511,1736,383,894,6,Friday
2026352035,"2016-05-07 00:00:00",4193,2.6,665,1491,229,894,7,Saturday
2026352035,"2016-05-08 00:00:00",5528,3.45,610,1555,258,868,1,Sunday
2026352035,"2016-05-09 00:00:00",10685,6.62,543,1869,401,944,2,Monday
2026352035,"2016-05-10 00:00:00",254,0.16,1002,1141,17,1019,3,Tuesday
2026352035,"2016-05-11 00:00:00",8580,5.32,569,1698,330,899,4,Wednesday
2026352035,"2016-05-12 00:00:00",8891,5.51,330,1364,343,673,5,Thursday
2320127002,"2016-04-12 00:00:00",10725,7.49,1112,2124,328,1440,3,Tuesday
2320127002,"2016-04-13 00:00:00",7275,4.9,1105,2003,335,1440,4,Wednesday
2320127002,"2016-04-14 00:00:00",3973,2.68,1249,1696,191,1440,5,Thursday
2320127002,"2016-04-15 00:00:00",5205,3.51,1195,1801,245,1440,6,Friday
2320127002,"2016-04-16 00:00:00",5057,3.41,1245,1724,195,1440,7,Saturday
2320127002,"2016-04-17 00:00:00",6198,4.18,1191,1852,249,1440,1,Sunday
2320127002,"2016-04-18 00:00:00",6559,4.42,1173,1905,267,1440,2,Monday
2320127002,"2016-04-19 00:00:00",5997,4.04,1201,1811,239,1440,3,Tuesday
2320127002,"2016-04-20 00:00:00",7192,4.85,1146,1922,294,1440,4,Wednesday
2320127002,"2016-04-21 00:00:00",3404,2.29,1302,1610,138,1440,5,Thursday
2320127002,"2016-04-22 00:00:00",5583,3.76,1174,1851,266,1440,6,Friday
2320127002,"2016-04-23 00:00:00",5079,3.42,1129,1804,242,1371,7,Saturday
2320127002,"2016-04-24 00:00:00",4165,2.81,1236,1725,204,1440,1,Sunday
2320127002,"2016-04-25 00:00:00",3588,2.42,1280,1654,160,1440,2,Monday
2320127002,"2016-04-26 00:00:00",3409,2.3,1293,1632,147,1440,3,Tuesday
2320127002,"2016-04-27 00:00:00",1715,1.16,1358,1481,82,1440,4,Wednesday
2320127002,"2016-04-28 00:00:00",1532,1.03,1364,1473,76,1440,5,Thursday
